GO:0051128, GO:0061024, GO:0006796
GO:0051128, GO:0061024, GO:0008104
GO:0051128, GO:0061024, GO:1901565
GO:0051128, GO:0061024, GO:0098662
GO:0051128, GO:0061024, GO:0080135
GO:0051128, GO:0006796, GO:0022607
GO:0051128, GO:0006796, GO:0008104
GO:0051128, GO:0006796, GO:0097435
GO:0051128, GO:0006796, GO:1901565
GO:0051128, GO:0006796, GO:0098662
GO:0051128, GO:0006796, GO:0080135
GO:0051128, GO:0006796, GO:0006996
GO:0051128, GO:0022607, GO:0008104
GO:0051128, GO:0022607, GO:1901565
GO:0051128, GO:0022607, GO:0098662
GO:0051128, GO:0022607, GO:0080135
GO:0051128, GO:0008104, GO:0097435
GO:0051128, GO:0008104, GO:1901565
GO:0051128, GO:0008104, GO:0098662
GO:0051128, GO:0008104, GO:0080135
GO:0051128, GO:0008104, GO:0006996
GO:0051128, GO:0097435, GO:1901565
GO:0051128, GO:0097435, GO:0098662
GO:0051128, GO:0097435, GO:0080135
GO:0051128, GO:1901565, GO:0098662
GO:0051128, GO:1901565, GO:0080135
GO:0051128, GO:1901565, GO:0006996
GO:0051128, GO:0098662, GO:0080135
GO:0051128, GO:0098662, GO:0006996
GO:0051128, GO:0080135, GO:0006996
GO:0042127, GO:0061024, GO:0006796
GO:0042127, GO:0061024, GO:0008104
GO:0042127, GO:0061024, GO:1901565
GO:0042127, GO:0061024, GO:0098662
GO:0042127, GO:0061024, GO:0080135
GO:0042127, GO:0006796, GO:0022607
GO:0042127, GO:0006796, GO:0008104
GO:0042127, GO:0006796, GO:0097435
GO:0042127, GO:0006796, GO:1901565
GO:0042127, GO:0006796, GO:0098662
GO:0042127, GO:0006796, GO:0080135
GO:0042127, GO:0006796, GO:0006996
GO:0042127, GO:0022607, GO:0008104
GO:0042127, GO:0022607, GO:1901565
GO:0042127, GO:0022607, GO:0098662
GO:0042127, GO:0022607, GO:0080135
GO:0042127, GO:0008104, GO:0097435
GO:0042127, GO:0008104, GO:1901565
GO:0042127, GO:0008104, GO:0098662
GO:0042127, GO:0008104, GO:0080135
GO:0042127, GO:0008104, GO:0006996
GO:0042127, GO:0097435, GO:1901565
GO:0042127, GO:0097435, GO:0098662
GO:0042127, GO:0097435, GO:0080135
GO:0042127, GO:1901565, GO:0098662
GO:0042127, GO:1901565, GO:0080135
GO:0042127, GO:1901565, GO:0006996
GO:0042127, GO:0098662, GO:0080135
GO:0042127, GO:0098662, GO:0006996
GO:0042127, GO:0080135, GO:0006996
GO:0061024, GO:0006796, GO:0008104
GO:0061024, GO:0006796, GO:1901565
GO:0061024, GO:0006796, GO:0098662
GO:0061024, GO:0006796, GO:0080135
GO:0061024, GO:0008104, GO:1901565
GO:0061024, GO:0008104, GO:0098662
GO:0061024, GO:0008104, GO:0080135
GO:0061024, GO:1901565, GO:0098662
GO:0061024, GO:1901565, GO:0080135
GO:0061024, GO:0098662, GO:0080135
GO:0006796, GO:0022607, GO:0008104
GO:0006796, GO:0022607, GO:1901565
GO:0006796, GO:0022607, GO:0098662
GO:0006796, GO:0022607, GO:0080135
GO:0006796, GO:0008104, GO:0097435
GO:0006796, GO:0008104, GO:1901565
GO:0006796, GO:0008104, GO:0098662
GO:0006796, GO:0008104, GO:0080135
GO:0006796, GO:0008104, GO:0006996
GO:0006796, GO:0097435, GO:1901565
GO:0006796, GO:0097435, GO:0098662
GO:0006796, GO:0097435, GO:0080135
GO:0006796, GO:1901565, GO:0098662
GO:0006796, GO:1901565, GO:0080135
GO:0006796, GO:1901565, GO:0006996
GO:0006796, GO:0098662, GO:0080135
GO:0006796, GO:0098662, GO:0006996
GO:0006796, GO:0080135, GO:0006996
GO:0022607, GO:0008104, GO:1901565
GO:0022607, GO:0008104, GO:0098662
GO:0022607, GO:0008104, GO:0080135
GO:0022607, GO:1901565, GO:0098662
GO:0022607, GO:1901565, GO:0080135
GO:0022607, GO:0098662, GO:0080135
GO:0008104, GO:0097435, GO:1901565
GO:0008104, GO:0097435, GO:0098662
GO:0008104, GO:0097435, GO:0080135
GO:0008104, GO:1901565, GO:0098662
GO:0008104, GO:1901565, GO:0080135
GO:0008104, GO:1901565, GO:0006996
GO:0008104, GO:0098662, GO:0080135
GO:0008104, GO:0098662, GO:0006996
GO:0008104, GO:0080135, GO:0006996
GO:0097435, GO:1901565, GO:0098662
GO:0097435, GO:1901565, GO:0080135
GO:0097435, GO:0098662, GO:0080135
GO:1901565, GO:0098662, GO:0080135
GO:1901565, GO:0098662, GO:0006996
GO:1901565, GO:0080135, GO:0006996
GO:0098662, GO:0080135, GO:0006996
GO:0007610, GO:0048589, GO:0007165
GO:0007610, GO:0048589, GO:0008283
GO:0019637, GO:0006790, GO:0033554
GO:0019637, GO:0006790, GO:0050793
GO:0019637, GO:0006790, GO:0006810
GO:0019637, GO:0006790, GO:2000241
GO:0019637, GO:0006790, GO:0042391
GO:0019637, GO:0006790, GO:0045165
GO:0019637, GO:0006790, GO:0030154
GO:0019637, GO:0006790, GO:0010035
GO:0019637, GO:0006790, GO:0010033
GO:0019637, GO:0006790, GO:0051649
GO:0019637, GO:0033554, GO:0050793
GO:0019637, GO:0033554, GO:0006810
GO:0019637, GO:0033554, GO:2000241
GO:0019637, GO:0033554, GO:0042391
GO:0019637, GO:0033554, GO:0045165
GO:0019637, GO:0033554, GO:0030154
GO:0019637, GO:0033554, GO:0010035
GO:0019637, GO:0033554, GO:0010033
GO:0019637, GO:0033554, GO:0051649
GO:0019637, GO:0050793, GO:0006810
GO:0019637, GO:0050793, GO:0042391
GO:0019637, GO:0050793, GO:0045165
GO:0019637, GO:0050793, GO:0030154
GO:0019637, GO:0050793, GO:0010035
GO:0019637, GO:0050793, GO:0010033
GO:0019637, GO:0050793, GO:0051649
GO:0019637, GO:0006810, GO:2000241
GO:0019637, GO:0006810, GO:0042391
GO:0019637, GO:0006810, GO:0045165
GO:0019637, GO:0006810, GO:0030154
GO:0019637, GO:0006810, GO:0010035
GO:0019637, GO:0006810, GO:0010033
GO:0019637, GO:2000241, GO:0042391
GO:0019637, GO:2000241, GO:0045165
GO:0019637, GO:2000241, GO:0030154
GO:0019637, GO:2000241, GO:0010035
GO:0019637, GO:2000241, GO:0010033
GO:0019637, GO:2000241, GO:0051649
GO:0019637, GO:0042391, GO:0045165
GO:0019637, GO:0042391, GO:0030154
GO:0019637, GO:0042391, GO:0010035
GO:0019637, GO:0042391, GO:0010033
GO:0019637, GO:0042391, GO:0051649
GO:0019637, GO:0045165, GO:0010035
GO:0019637, GO:0045165, GO:0010033
GO:0019637, GO:0045165, GO:0051649
GO:0019637, GO:0030154, GO:0010035
GO:0019637, GO:0030154, GO:0010033
GO:0019637, GO:0030154, GO:0051649
GO:0019637, GO:0010035, GO:0051649
GO:0019637, GO:0010033, GO:0051649
GO:0006790, GO:0033554, GO:0050793
GO:0006790, GO:0033554, GO:0006810
GO:0006790, GO:0033554, GO:2000241
GO:0006790, GO:0033554, GO:0042391
GO:0006790, GO:0033554, GO:0045165
GO:0006790, GO:0033554, GO:0030154
GO:0006790, GO:0033554, GO:0010035
GO:0006790, GO:0033554, GO:0010033
GO:0006790, GO:0033554, GO:0051649
GO:0006790, GO:0050793, GO:0006810
GO:0006790, GO:0050793, GO:0042391
GO:0006790, GO:0050793, GO:0045165
GO:0006790, GO:0050793, GO:0030154
GO:0006790, GO:0050793, GO:0010035
GO:0006790, GO:0050793, GO:0010033
GO:0006790, GO:0050793, GO:0051649
GO:0006790, GO:0006810, GO:2000241
GO:0006790, GO:0006810, GO:0042391
GO:0006790, GO:0006810, GO:0045165
GO:0006790, GO:0006810, GO:0030154
GO:0006790, GO:0006810, GO:0010035
GO:0006790, GO:0006810, GO:0010033
